"Document Title","Authors","Author Affiliations","Publication Title","Date Added To Xplore","Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBNs","DOI","Funding Information","PDF Link","Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms","Article Citation Count","Patent Citation Count","Reference Count","License","Online Date","Issue Date","Meeting Date","Publisher","Document Identifier"
"PAGANI: A Parallel Adaptive GPU Algorithm for Numerical Integration","I. Sakiotis; K. Arumugam; M. Paterno; D. Ranjan; B. Terzić; M. Zubair","Old Dominion University Norfolk, Virginia, USA; NVIDIA Santa Clara, California, USA; Fermi National Accelerator Laboratory Batavia, Illinois, USA; Old Dominion University Norfolk, Virginia, USA; Old Dominion University Norfolk, Virginia, USA; Old Dominion University Norfolk, Virginia, USA","SC21: International Conference for High Performance Computing, Networking, Storage and Analysis","18 Oct 2022",2021,"","",1,13,"We present a new adaptive parallel algorithm for the challenging problem of multi-dimensional numerical integration on massively parallel architectures. Adaptive algorithms have demonstrated the best performance, but efficient many-core utilization is difficult to achieve because the adaptive work-load can vary greatly across the integration space and is impossible to predict a priori. Existing parallel algorithms utilize sequential computations on independent processors, which results in bottlenecks due to the need for data redistribution and processor synchronization. Our algorithm employs a high-throughput approach in which all existing sub-regions are processed and sub-divided in parallel. Repeated sub-region classification and filtering improves upon a brute-force approach and allows the algorithm to make efficient use of computation and memory resources. A CUDA implementation shows orders of magnitude speedup over the fastest open-source CPU method and extends the achievable accuracy for difficult integrands. Our algorithm typically outperforms other existing deterministic parallel methods.","2167-4337","978-1-4503-8442-1","10.1145/3458817.3476198","U.S. Department of Energy; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9910080","adaptive;multi-dimensional;integration;deterministic","Memory management;Graphics processing units;Prototypes;Programming;Prediction algorithms;Classification algorithms;Parallel architectures","","","","","",29.0,"","18 Oct 2022","","","IEEE","IEEE Conferences"
"Reducing Redundancy in Data Organization and Arithmetic Calculation for Stencil Computations","K. Li; L. Yuan; Y. Zhang; Y. Yue","State Key Laboratory of Computer Architecture, Institute of Computing Technology, Chinese Academy of Sciences School of Computer Science and Technology, University of Chinese Academy of Sciences, Beijing, China; State Key Laboratory of Computer Architecture, Institute of Computing Technology, Chinese Academy of Scienceslice, Beijing, China; State Key Laboratory of Computer Architecture, Institute of Computing Technology, Chinese Academy of Scienceslice, Beijing, China; State Key Laboratory of Computer Architecture, Institute of Computing Technology, Chinese Academy of Sciences School of Computer Science and Technology, University of Chinese Academy of Sciences, Beijing, China","SC21: International Conference for High Performance Computing, Networking, Storage and Analysis","18 Oct 2022",2021,"","",1,15,"Stencil computation is one of the most important kernels in various scientific and engineering applications. A variety of work has focused on vectorization techniques, aiming at exploiting the in-core data parallelism. However, they either incur spatial data conflicts or hurt the data locality when integrated with tiling. In this paper, a novel spatial computation folding is devised to reduce the data reorganization overhead for vectorization and preserve the data locality for tiling in the data space simultaneously. We then propose an approach of temporal computation folding enhanced with shifts reusing, tessellate tiling, and semi-automatic code generation. It aims to further reduce the redundancy of arithmetic calculations and exploit the register reuse along the time dimension. Experimental results on the AVX2 and AVX-512 CPUs show that our approach obtains significant performance improvements compared with state-of-the-art techniques.","2167-4337","978-1-4503-8442-1","","National Key Research & Development Program of China(grant numbers:2016YFB0200800); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9910143","Stencil;Vectorization;Register reuse;Data locality","Codes;High performance computing;Redundancy;Organizations;Parallel processing;Spatial databases;Computational efficiency","","","","","",50.0,"","18 Oct 2022","","","IEEE","IEEE Conferences"
"CAKE: Matrix Multiplication Using Constant-Bandwidth Blocks","H. T. Kung; V. Natesh; A. Sabot","Harvard University, Cambridge, MA, USA; Harvard University, Cambridge, MA, USA; Harvard University, Cambridge, MA, USA","SC21: International Conference for High Performance Computing, Networking, Storage and Analysis","18 Oct 2022",2021,"","",1,13,"We offer a novel approach to matrix-matrix multiplication computation on computing platforms with memory hierarchies. Constant-bandwidth (CB) blocks improve computation throughput for architectures limited by external memory bandwidth. Configuring the shape and size of CB blocks operating from within any memory hierarchy level (e.g., internal SRAM), we achieve high throughput while holding external bandwidth (e.g., with DRAM) constant. We explain how, surprisingly, CB blocks can maintain constant external bandwidth as computation throughput increases. Analogous to partitioning a cake into pieces, we dub our CB-partitioned system CAKE. We show CAKE outperforms state-of-the-art libraries in compu-tation time on real-world systems where external bandwidth represents a bottleneck, demonstrating CAKE's ability to address the memory wall. CAKE achieves superior performance by directly using theoretically optimal CB-partitioned blocks in tiling and scheduling, obviating the need for extensive design search.","2167-4337","978-1-4503-8442-1","10.1145/3458817.3476166","Air Force Research Laboratory(grant numbers:FA87S0-18-1-0112); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9910104","memory management;computation for deep neural network (DNN);parallel processing;parallel architectures;optimal block scheduling;arithmetic intensity;matrix multiplication;memory wall","Power demand;Shape;Processor scheduling;Memory management;Neural networks;Random access memory;Bandwidth","","","",1.0,"",31.0,"","18 Oct 2022","","","IEEE","IEEE Conferences"
"HPAC: Evaluating Approximate Computing Techniques on HPC OpenMP Applications","K. Parasyris; G. Georgakoudis; H. Menon; J. Diffenderfer; I. Laguna; D. Osei-Kuffuor; M. Schordan","Lawrence Livermore National Laboratory, Livermore, CA, USA; Lawrence Livermore National Laboratory, Livermore, CA, USA; Lawrence Livermore National Laboratory, Livermore, CA, USA; Lawrence Livermore National Laboratory, Livermore, CA, USA; Lawrence Livermore National Laboratory, Livermore, CA, USA; Lawrence Livermore National Laboratory, Livermore, CA, USA; Lawrence Livermore National Laboratory, Livermore, CA, USA","SC21: International Conference for High Performance Computing, Networking, Storage and Analysis","18 Oct 2022",2021,"","",1,14,"As we approach the limits of Moore's law, researchers are exploring new paradigms for future high-performance computing (HPC) systems. Approximate computing has gained traction by promising to deliver substantial computing power. However, due to the stringent accuracy requirements of HPC scientific applications, the broad adoption of approximate computing methods in HPC requires an in-depth understanding of the application's amenability to approximations. We develop HPAC, a framework with compiler and runtime support for code annotation and transformation, and accuracy vs. performance trade-off analysis of OpenMP HPC applications. We use HPAC to perform an in-depth analysis of the effectiveness of approximate computing techniques when applied to HPC applications. The results reveal possible performance gains of approximation and its interplay with parallel execution. For instance, in the LULESH proxy application approximation provides substantial performance gains due to the reduction of memory accesses. However, in the leukocyte benchmark approximation induces load imbalance in the parallel execution and thus limiting the performance gains.","2167-4337","978-1-4503-8442-1","10.1145/3458817.3476216","LLNL(grant numbers:DE-AC52-07NA27344,LLNL-CONF-821216); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9910091","Approximate Computing;Programming Models;Runtime Systems;OpenMP","Semiconductor device modeling;Codes;Runtime;High performance computing;Moore's Law;Approximate computing;Performance gain","","","",2.0,"",49.0,"","18 Oct 2022","","","IEEE","IEEE Conferences"
"Accelerating XOR-Based Erasure Coding using Program Optimization Techniques","Y. Uezato","Dwango, Co., Ltd., Japan","SC21: International Conference for High Performance Computing, Networking, Storage and Analysis","18 Oct 2022",2021,"","",1,15,"Erasure coding (EC) affords data redundancy for large-scale systems. XOR-based EC is an easy-to-implement method for optimizing EC. This paper addresses a significant performance gap between the state-of-the-art XOR-based EC approach (~4.9 GB/s coding through-put) and Intel's high-performance EC library based on another approach (~6.7 GB/s). We propose a novel approach based on our observation that XOR-based EC virtually generates programs of a Domain Specific Language for XORing byte arrays. We formalize such programs as straight-line programs (SLPs) of compiler construction and optimize SLPs using various program optimization techniques. Our optimization flow is three-fold: 1) reducing the number of XORs using grammar compression algorithms; 2) reducing memory accesses using deforestation, a functional program optimization method; and 3) reducing cache misses using the (red-blue) pebble game of program analysis. We provide an experimentallibrary, which outperforms Intel's library with an $\sim 8.92$ GB/s throughput.","2167-4337","978-1-4503-8442-1","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9910053","","Program processors;High performance computing;Redundancy;Optimization methods;Games;Throughput;Encoding","","","","","",104.0,"","18 Oct 2022","","","IEEE","IEEE Conferences"
"Error-Controlled, Progressive, and Adaptable Retrieval of Scientific Data with Multilevel Decomposition","X. Liang; Q. Gong; J. Chen; B. Whitney; L. Wan; Q. Liu; D. Pugmire; R. Archibald; N. Podhorszki; S. Klasky","Missouri S&T, Rolla, MO, USA; Oak Ridge National Laboratory, Oak Ridge, USA; Oak Ridge National Laboratory, Oak Ridge, USA; Oak Ridge National Laboratory, Oak Ridge, USA; Oak Ridge National Laboratory, Oak Ridge, USA; New Jersey Institute of Technology, New York, USA; Oak Ridge National Laboratory, Oak Ridge, USA; Oak Ridge National Laboratory, Oak Ridge, USA; Oak Ridge National Laboratory, Oak Ridge, USA; Oak Ridge National Laboratory, Oak Ridge, USA","SC21: International Conference for High Performance Computing, Networking, Storage and Analysis","18 Oct 2022",2021,"","",1,14,"Extreme-scale simulations and high-resolution instruments have been generating an increasing amount of data, which poses significant challenges to not only data storage during the run, but also post-processing where data will be repeatedly retrieved and analyzed for a long period of time. The challenges in satisfying a wide range of post-hoc analysis needs while minimizing the I/O overhead caused by inappropriate and/or excessive data retrieval should never be left unmanaged. In this paper, we propose a data refactoring, compressing, and retrieval framework capable of 1) fine-grained data refactoring with regard to precision; 2) incrementally retrieving and recomposing the data in terms of various error bounds; and 3) adaptively retrieving data in multi-precision and multi-resolution with respect to different analysis. With the progressive data re-composition and the adaptable retrieval algorithms, our framework significantly reduces the amount of data retrieved when multiple incremental precision are requested and/or the downstream analysis time when coarse resolution is used. Experiments show that the amount of data retrieved under the same progressively requested error bound using our framework is 64% less than that using state-of-the-art single-error-bounded approaches. Parallel experiments with up to 1, 024 cores and $\sim\ 600$ GB data in total show that our approach yields $1.36\times$ and $2.52\times$ performance over existing approaches in writing to and reading from persistent storage systems, respectively.","2167-4337","978-1-4503-8442-1","10.1145/3458817.3476179","U.S. Department of Energy Office of Science(grant numbers:17-SC-20-SC); National Nuclear Security Administration; Office of Science; Office of Advanced Scientific Computing Research (ASCR); Oak Ridge National Laboratory (ORNL); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9910085","Data compression;error control;storage and I/O;data retrieval","Measurement;Analytical models;Scientific computing;Instruments;High performance computing;Memory;Writing","","","","","",50.0,"","18 Oct 2022","","","IEEE","IEEE Conferences"
"LogECMem: Coupling Erasure-Coded In-Memory Key-Value Stores with Parity Logging","L. Cheng; Y. Hu; Z. Ke; J. Xu; Q. Yao; D. Feng; W. Wang; W. Chen","Huazhong University of Science and Technology, Wuhan, China; Huazhong University of Science and Technology, Wuhan, China; Huazhong University of Science and Technology, Wuhan, China; Huazhong University of Science and Technology, Wuhan, China; Huazhong University of Science and Technology, Wuhan, China; Huazhong University of Science and Technology, Wuhan, China; HIKVISION, Hangzhou, China; HIKVISION, Hangzhou, China","SC21: International Conference for High Performance Computing, Networking, Storage and Analysis","18 Oct 2022",2021,"","",1,14,"In-memory key-value stores are often used to speed up Big Data workloads on modern HPC clusters. To maintain their high availability, erasure coding has been recently adopted as a low-cost redundancy scheme instead of replication. Existing erasure-coded update schemes, however, have either low performance or high memory overhead. In this paper, we propose a novel parity logging-based architecture, HybridPL, which creates a hybrid of in-place update (for data and XOR parity chunks) and log-based update (for the remaining parity chunks), so as to balance the update performance and memory cost, while maintaining efficient single-failure repairs. We realize HybridPL as an in-memory key-value store called LogECMem, and further design efficient repair schemes for multiple failures. We prototype LogECMem and conduct experiments on different workloads. We show that LogECMem achieves better up-date performance over existing erasure-coded update schemes with low memory overhead, while maintaining high basic I/O and repair performance.","2167-4337","978-1-4503-8442-1","10.1145/3458817.3480852","National Natural Science Foundation of China(grant numbers:61872414); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9910127","Erasure coding;Key-value stores;Update;Parity logging","Couplings;Costs;High performance computing;Redundancy;Memory management;Prototypes;Maintenance engineering","","","","","",63.0,"","18 Oct 2022","","","IEEE","IEEE Conferences"
"Scalable FBP Decomposition for Cone-Beam CT Reconstruction","P. Chen; M. Wahib; X. Wang; T. Hirofuchi; H. Ogawa; A. Biguri; R. Boardman; T. Blumensath; S. Matsuoka","RIKEN CCS, National Institute of Advanced Industrial Science and Technology, Hyogo, Japan; RIKEN CCS, National Institute of Advanced Industrial Science and Technology, Hyogo, Japan; Oak Ridge National Laboratory, US Boston Children's Hospital, US; RIKEN CCS, National Institute of Advanced Industrial Science and Technology, Hyogo, Japan; RIKEN CCS, National Institute of Advanced Industrial Science and Technology, Hyogo, Japan; Institute of Nuclear Medicine, University College, London, UK; μ-VIS X-Ray Imaging Centre, University of Southampton, UK; μ-VIS X-Ray Imaging Centre, University of Southampton, UK; Tokyo Institute of Technology, Japan RIKEN CCS, Hyogo, Japan","SC21: International Conference for High Performance Computing, Networking, Storage and Analysis","18 Oct 2022",2021,"","",1,16,"Filtered Back-Projection (FBP) is a fundamental compute intense algorithm used in tomographic image reconstruction. Cone-Beam Computed Tomography (CBCT) devices use a cone-shaped X-ray beam, in comparison to the parallel beam used in older CT generations. Distributed image reconstruction of cone-beam datasets typically relies on dividing batches of images into different nodes. This simple input decomposition, however, introduces limits on input/ output sizes and scalability. We propose a novel decomposition scheme and reconstruction algorithm for distributed FPB. This scheme enables arbitrarily large input/output sizes, eliminates the redundancy arising in the end-to-end pipeline and improves the scalability by replacing two communication collectives with only one segmented reduction. Finally, we implement the proposed decomposition scheme in a framework that is useful for all current-generation CT devices (7thgen). In our experiments using up to 1024 GPUs, our framework can construct 40963 volumes, for real-world datasets, in under 16 seconds (including I/O).","2167-4337","978-1-4503-8442-1","10.1145/3458817.3476139","EPSRC(grant numbers:EP/R002495/1); EURAMET(grant numbers:17IND08); PRESTO(grant numbers:JPMJPR20MA); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9910103","HPC;Image Reconstruction;FBP;GPU","Computed tomography;Scalability;Memory management;Redundancy;Pipelines;Graphics processing units;Reconstruction algorithms","","","","","",73.0,"","18 Oct 2022","","","IEEE","IEEE Conferences"
"Online Optimization of File Transfers in High-Speed Networks","M. Arifuzzaman; E. Arslan","University of Nevada, Reno, Reno, Nevada, USA; University of Nevada, Reno, Reno, Nevada, USA","SC21: International Conference for High Performance Computing, Networking, Storage and Analysis","18 Oct 2022",2021,"","",1,13,"File transfers in high-speed networks require network and I/O parallelism to reach high speeds, however, creating arbitrarily large numbers of I/O and network threads overwhelms system resources and causes fairness issues. In this paper, we introduce Falcon that combines a novel utility function with state-of-the-art online op-timization algorithms to discover the degree of I/O and network parallelism for file transfer that can maximize the throughput while keeping system overhead low and ensuring fairness among competing transfers. Our extensive evaluations in several dedicated and production high-speed networks show that Falcon can find near-optimal solution in as little as 20 seconds and outperforms existing transfer application by 2-6x. Moreover, unlike other file transfer optimization solutions that fail to ensure fair resource allocation between competing transfers, Falcon is guaranteed to converge to Nash Equilibrium when multiple Falcon agents compete for the network resources with the help of its game theory-inspired utility function.","2167-4337","978-1-4503-8442-1","10.1145/3458817.3476208","National Science Foundation (NSF)(grant numbers:1850353,2007789); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9910102","","High-speed networks;Instruction sets;High performance computing;Production;Games;Parallel processing;Throughput","","","",1.0,"",37.0,"","18 Oct 2022","","","IEEE","IEEE Conferences"
"Hardware-Supported Remote Persistence for Distributed Persistent Memory","Z. Duan; H. Lu; H. Liu; X. Liao; H. Jin; Y. Zhang; S. Wu","National Engineering Research Center for Big Data Technology and System, Services Computing Technology and System Lab, Cluster and Grid Computing Lab, School of Computing Science and Technology, Huazhong University of Science and Technology, Wuhan, China; National Engineering Research Center for Big Data Technology and System, Services Computing Technology and System Lab, Cluster and Grid Computing Lab, School of Computing Science and Technology, Huazhong University of Science and Technology, Wuhan, China; National Engineering Research Center for Big Data Technology and System, Services Computing Technology and System Lab, Cluster and Grid Computing Lab, School of Computing Science and Technology, Huazhong University of Science and Technology, Wuhan, China; National Engineering Research Center for Big Data Technology and System, Services Computing Technology and System Lab, Cluster and Grid Computing Lab, School of Computing Science and Technology, Huazhong University of Science and Technology, Wuhan, China; National Engineering Research Center for Big Data Technology and System, Services Computing Technology and System Lab, Cluster and Grid Computing Lab, School of Computing Science and Technology, Huazhong University of Science and Technology, Wuhan, China; National Engineering Research Center for Big Data Technology and System, Services Computing Technology and System Lab, Cluster and Grid Computing Lab, School of Computing Science and Technology, Huazhong University of Science and Technology, Wuhan, China; National Engineering Research Center for Big Data Technology and System, Services Computing Technology and System Lab, Cluster and Grid Computing Lab, School of Computing Science and Technology, Huazhong University of Science and Technology, Wuhan, China","SC21: International Conference for High Performance Computing, Networking, Storage and Analysis","18 Oct 2022",2021,"","",1,15,"The advent of Persistent Memory (PM) necessitates an evolution of Remote Direct Memory Access (RDMA) technologies for supporting remote data persistence. Previous software-based solutions require remote CPU intervention and postpone the visibility of remote persistence. In this paper, we design several hardware-supported RDMA primitives to flush data from the volatile cache of RDMA Network Interface Cards (RNICs) to the PM. We also propose durable RPCs based on the proposed RDMA Flush primitives to support remote data persistence and fast failure recovery. We emulate the performance of RDMA Flush primitives through other RDMA prim-itives, and compare our proposals with several state-of-the-art RPCs in a real testbed equipped with PM and InfiniBand networks. Experimental results show that our proposals can improve the throughput of RPCs by up to 90%, and reduce the 99th percentile latency by up to 49%. The experimental studies also provide instructive guidelines for designing RDMA-based distributed PM systems.","2167-4337","978-1-4503-8442-1","10.1145/3458817.3476194","National Key Research and Development Program of China(grant numbers:2017YFBI001603); National Natural Science Foundation of China(grant numbers:62072198,61732010,61825202,62032008); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9910097","RDMA;PM;RPC;Data Persistence","High performance computing;Throughput;Proposals;Network interfaces;Guidelines","","","","","",54.0,"","18 Oct 2022","","","IEEE","IEEE Conferences"
"Clairvoyant Prefetching for Distributed Machine Learning I/O","N. Dryden; R. Böhringer; T. Ben-Nun; T. Hoefler","Department of Computer Science, ETH Zürich, Switzerland; Department of Computer Science, ETH Zürich, Switzerland; Department of Computer Science, ETH Zürich, Switzerland; Department of Computer Science, ETH Zürich, Switzerland","SC21: International Conference for High Performance Computing, Networking, Storage and Analysis","18 Oct 2022",2021,"","",1,14,"I/O is emerging as a major bottleneck for machine learning training, especially in distributed environments. Indeed, at large scale, I/O takes as much as 85% of training time. Addressing this I/O bottle-neck necessitates careful optimization, as optimal data ingestion pipelines differ between systems, and require a delicate balance between access to local storage, external filesystems, and remote nodes. We introduce NoPFS, a machine learning I/O middleware, which provides a scalable, flexible, and easy-to-use solution to the I/O bottleneck. NoPFS uses clairvoyance: Given the seed generating the random access pattern for training with SGD, it can exactly predict when and where a sample will be accessed. We combine this with an analysis of access patterns and a performance model to provide distributed caching policies that adapt to different datasets and storage hierarchies. NoPFS reduces I/O times and improves end-to-end training by up to 5.4× on the ImageNet-1k, ImageNet-22k, and CosmoFlow datasets.","2167-4337","978-1-4503-8442-1","10.1145/3458817.3476181","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9910068","Deep learning;high-performance computing;I/O","Training;Analytical models;Runtime;Prefetching;Pipelines;Machine learning;Throughput","","","",4.0,"",79.0,"","18 Oct 2022","","","IEEE","IEEE Conferences"
"ndzip-gpu: Efficient lossless Compression of Scientific Floating-Point Data on GPUs","F. Knorr; P. Thoman; T. Fahringer","University of Innsbruck, Austria; University of Innsbruck, Austria; University of Innsbruck, Austria","SC21: International Conference for High Performance Computing, Networking, Storage and Analysis","18 Oct 2022",2021,"","",1,13,"Lossless data compression is a promising software approach for reducing the bandwidth requirements of scientific applications on accelerator clusters without introducing approximation errors. Suitable compressors must be able to effectively compact floating-point data while saturating the system interconnect to avoid introducing unnecessary latencies. We present ndzip-gpu, a novel, highly-efficient GPU parallelization scheme for the block compressor ndzip, which has recently set a new milestone in CPU floating-point compression speeds. Through the combination of intra-block parallelism and efficient memory access patterns, ndzip-gpu achieves high resource utilization in decorrelating multi-dimensional data via the Integer Lorenzo Transform. We further introduce a novel, efficient warp-cooperative primitive for vertical bit packing, providing a high-throughput data reduction and expansion step. Using a representative set of scientific data, we compare the performance of ndzip-gpu against five other, existing GPU compressors. While observing that effectiveness of any compressor strongly depends on characteristics of the dataset, we demonstrate that ndzip-gpu offers the best average compression ratio for the examined data. On Nvidia Turing, Volta and Ampere hardware, it achieves the highest single-precision throughput by a significant margin while maintaining a favorable trade-off between data reduction and throughput in the double-precision case.","2167-4337","978-1-4503-8442-1","10.1145/3458817.3476224","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9910073","accelerator;gpgpu;data compression;floating-point","Source coding;Graphics processing units;Bandwidth;Transforms;Throughput;Compressors;Supercomputers","","","",1.0,"",25.0,"","18 Oct 2022","","","IEEE","IEEE Conferences"
"Resilient Error-Bounded Lossy Compressor for Data Transfer","S. Li; S. Di; K. Zhao; X. Liang; Z. Chen; F. Cappello","University of California Riverside, Riverside, CA, USA; Argonne National Laboratory, Lemont, IL, USA; University of California Riverside, Riverside, CA, USA; Missouri University of Science and Technology, Rolla, MO, USA; University of California Riverside, Riverside, CA, USA; Argonne National Laboratory, Lemont, IL, USA","SC21: International Conference for High Performance Computing, Networking, Storage and Analysis","18 Oct 2022",2021,"","",1,14,"Today's exa-scale scientific applications or advanced instruments are producing vast volumes of data, which need to be shared/transferred through the network/devices with relatively low bandwidth (e.g., data sharing on WAN or transferring from edge devices to supercomputers). Lossy compression is one of the candidate strategies to address the big data issue. However, little work was done to make it resilient against silent errors, which may happen during the stage of compression or data transferring. In this paper, we propose a resilient error-bounded lossy compressor based on the SZ compression framework. Specifically, we design a new independent-block-wise model that decomposes the entire dataset into many independent sub-blocks to compress. Then, we design and implement a series of error detection/correction strategies elaboratively for each stage of SZ. Our method is arguably the first algorithm-based fault tolerance (ABFT) solution for lossy compression. Our proposed solution incurs negligible execution overhead in the fault-free situation. Upon soft errors happening, it ensures decompressed data strictly bounded within user's requirement with a very limited degradation of compression ratio and low overhead.","2167-4337","978-1-4503-8442-1","10.1145/3458817.3476195","U.S. Department of Energy; Office of Science; Office of Advanced Scientific Computing Research(grant numbers:DE-AC02-06CHl1357); National Science Foundation(grant numbers:1617488,1619253,2003709); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9910111","Lossy compression;Algorithm Based Fault Tolerance;data transfer","Degradation;Wide area networks;Fault tolerance;Computational modeling;Fault tolerant systems;Writing;Data models","","","",4.0,"",55.0,"","18 Oct 2022","","","IEEE","IEEE Conferences"
"Productivity, Portability, Performance: Data-Centric Python","A. N. Ziogas; T. Schneider; T. Ben-Nun; A. Calotoiu; T. De Matteis; J. de Fine Licht; L. Lavarini; T. Hoefler","Department of Computer Science, ETH Zurich, Switzerland; Department of Computer Science, ETH Zurich, Switzerland; Department of Computer Science, ETH Zurich, Switzerland; Department of Computer Science, ETH Zurich, Switzerland; Department of Computer Science, ETH Zurich, Switzerland; Department of Computer Science, ETH Zurich, Switzerland; Department of Computer Science, ETH Zurich, Switzerland; Department of Computer Science, ETH Zurich, Switzerland","SC21: International Conference for High Performance Computing, Networking, Storage and Analysis","18 Oct 2022",2021,"","",1,15,"Python has become the de facto language for scientific computing. Programming in Python is highly productive, mainly due to its rich science-oriented software ecosystem built around the NumPy module. As a result, the demand for Python support in High Performance Computing (HPC) has skyrocketed. However, the Python language itself does not necessarily offer high performance. In this work, we present a workflow that retains Python's high productivity while achieving portable performance across different architectures. The workflow's key features are HPC-oriented language extensions and a set of automatic optimizations powered by a data-centric intermediate representation. We show performance results and scaling across CPU, GPU, FPGA, and the Piz Daint supercomputer (up to 23,328 cores), with 2.47x and 3.75x speedups over previous-best solutions, first-ever Xilinx and Intel FPGA results of annotated Python, and up to 93.16% scaling efficiency on 512 nodes.","2167-4337","978-1-4503-8442-1","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9910042","Data-Centric;High Performance Computing;Python;NumPy","Productivity;Codes;Scientific computing;High performance computing;Semantics;Computer architecture;Supercomputers","","","","","",75.0,"","18 Oct 2022","","","IEEE","IEEE Conferences"
"Empirical Evaluation of Circuit Approximations on Noisy Quantum Devices","E. Wilson; F. Mueller; L. Bassman; C. Iancu","North Carolina State University; North Carolina State University; Lawrence Berkeley National Lab; Lawrence Berkeley National Lab","SC21: International Conference for High Performance Computing, Networking, Storage and Analysis","18 Oct 2022",2021,"","",1,12,"Noisy Intermediate-Scale Quantum (NISQ) devices fail to produce outputs with sufficient fidelity for deep circuits with many gates today. Such devices suffer from read-out, multi-qubit gate and cross-talk noise combined with short decoherence times limiting circuit depth. This work develops a methodology to generate shorter circuits with fewer multi-qubit gates whose unitary transformations approximate the original reference one. It explores the benefit of such generated approximations under NISQ devices. Experimental results with Grover's algorithm, multiple-control Toffoli gates, and the Transverse Field Ising Model show that such approximate circuits produce higher fidelity results than longer, theoretically precise circuits on NISQ devices, especially when the reference circuits have many CNOT gates to begin with. With this ability to fine-tune circuits, it is demonstrated that quantum computations can be performed for more complex problems on today's devices than was feasible before, sometimes even with a gain in overall precision by up to 60%.","2167-4337","978-1-4503-8442-1","10.1145/3458817.3476189","U.S. Department of Energy (DOE)(grant numbers:DE-AC02-05CH11231); NSF(grant numbers:DMR-1747426,PHY-1818914,OAC-1917383,MPS-2120757); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9910130","Quantum Computing;Circuit Approximation;Error Mitigation;Quantum Compilation","Performance evaluation;Quantum computing;Limiting;High performance computing;Quantum mechanics;Logic gates;Noise measurement","","","",1.0,"",37.0,"","18 Oct 2022","","","IEEE","IEEE Conferences"
